6,1,10,15,13,5,11,8,16,14,7,4,9,3,12,2
3,2,16,14,12,4,9,7,15,11,10,8,6,13,5,1
12,8,14,4,7,6,15,10,11,9,5,3,1,16,2,13
11,5,9,3,1,16,13,2,12,6,4,14,10,15,7,8
14,7,15,2,11,8,6,9,1,13,12,10,3,4,16,5
10,3,12,1,4,13,5,16,6,15,2,9,7,14,8,11
9,4,13,12,3,15,8,6,7,10,11,5,2,1,14,16
5,16,11,10,2,14,7,1,8,4,6,12,15,9,13,3
7,15,8,16,10,3,4,11,5,2,1,6,13,12,9,14
1,14,6,13,9,12,2,5,10,7,15,16,8,11,3,4
13,11,5,9,15,2,12,14,3,1,16,7,4,8,10,6
8,10,4,7,6,1,16,3,9,5,13,15,14,2,11,12
4,13,3,6,8,11,10,15,14,16,9,2,12,5,1,7
16,9,2,5,14,7,1,12,4,3,8,13,11,10,6,15
15,12,7,11,5,9,14,13,2,8,3,1,16,6,4,10
2,6,1,8,16,10,3,4,13,12,14,11,5,7,15,9
