8,5,1,14,13,10,20,4,12,18,16,3,21,17,19,7,24,2,9,23,11,22,15,6
10,23,13,12,4,2,14,24,21,22,1,7,3,16,5,15,18,11,6,19,8,17,20,9
9,4,11,20,17,16,22,15,18,21,13,6,10,24,2,1,12,8,3,5,14,7,19,23
7,3,24,21,11,9,13,16,17,20,19,10,8,15,6,5,22,23,18,2,12,4,1,14
6,2,12,18,24,15,9,23,8,17,5,11,14,1,20,4,19,13,7,21,22,3,10,16
19,16,22,7,3,1,11,6,2,8,14,12,18,23,4,20,17,9,10,15,24,21,5,13
18,15,21,8,6,5,7,19,10,23,9,4,22,13,12,16,14,3,17,1,20,11,24,2
17,14,20,23,22,19,3,5,1,15,2,24,9,11,7,10,21,6,4,13,16,18,12,8
14,12,7,3,15,23,2,1,20,10,22,17,5,18,16,24,13,21,19,6,9,8,11,4
11,9,23,13,8,12,18,17,16,19,20,15,24,22,21,6,5,4,14,3,10,2,7,1
20,24,19,9,7,11,15,21,13,6,3,5,4,2,1,18,23,22,12,8,17,14,16,10
5,8,17,6,10,21,24,9,7,14,12,18,23,20,13,3,2,1,16,11,4,19,22,15
4,22,18,17,2,14,5,10,3,13,11,1,15,9,8,19,7,16,21,24,23,12,6,20
3,21,16,5,1,20,12,8,6,7,4,2,19,14,11,17,9,10,15,22,13,24,23,18
2,13,15,24,19,4,23,22,14,9,21,16,12,6,10,8,11,20,1,7,18,5,3,17
1,10,6,22,16,18,19,11,4,24,8,23,7,3,17,12,15,14,5,20,2,9,13,21
24,6,5,15,20,13,4,12,9,2,23,19,1,7,14,22,16,18,8,17,3,10,21,11
22,11,4,19,12,24,1,3,15,16,6,13,2,21,18,9,8,17,20,10,7,23,14,5
15,20,14,4,21,6,10,13,5,1,18,22,17,8,23,11,3,24,2,12,19,16,9,7
13,19,10,16,18,3,17,14,11,12,7,20,6,4,22,2,1,5,23,9,21,15,8,24
12,7,9,11,23,8,16,18,24,5,17,14,13,10,3,21,20,15,22,4,6,1,2,19
23,18,3,2,9,7,8,20,22,4,10,21,11,5,15,14,6,19,24,16,1,13,17,12
16,17,8,1,14,22,21,2,19,11,15,9,20,12,24,23,10,7,13,18,5,6,4,3
21,1,2,10,5,17,6,7,23,3,24,8,16,19,9,13,4,12,11,14,15,20,18,22
