15,3,18,16,24,11,22,21,7,1,5,8,17,10,4,9,19,20,14,2,13,23,6,12
8,12,20,23,6,7,10,14,2,3,18,11,19,22,15,13,4,16,21,1,17,5,9,24
5,17,19,9,1,4,2,13,23,16,21,14,20,6,24,12,10,8,15,22,3,7,18,11
6,21,24,3,10,15,19,11,4,8,13,2,7,9,5,1,17,14,12,23,22,16,20,18
2,20,23,14,4,13,17,8,16,10,15,19,18,12,22,11,21,9,7,5,6,24,1,3
1,18,22,12,9,5,16,7,24,21,23,6,14,20,3,17,11,10,8,4,15,2,19,13
4,2,17,15,12,10,14,6,20,23,24,21,22,13,9,19,7,5,3,18,11,1,16,8
3,1,16,13,11,9,8,18,15,14,17,12,10,7,6,5,24,23,22,21,20,19,4,2
20,19,21,24,23,22,7,5,11,4,3,18,8,2,1,16,12,17,10,15,9,14,13,6
21,6,9,11,5,20,12,22,19,24,2,4,13,1,14,23,15,3,18,10,16,8,7,17
18,23,15,17,14,19,4,10,8,11,7,3,6,16,12,21,1,24,2,13,5,20,22,9
13,24,8,7,2,1,3,16,17,9,10,22,5,15,20,18,14,21,4,19,12,6,11,23
10,16,14,20,3,18,13,17,22,15,19,9,1,5,2,6,8,11,23,24,21,4,12,7
22,5,7,4,21,24,11,9,18,13,16,10,12,23,8,3,6,2,1,20,19,17,14,15
12,15,6,2,19,8,23,1,14,17,20,7,11,24,21,4,3,18,9,16,10,13,5,22
11,14,5,21,18,6,24,15,13,2,12,17,3,4,10,20,9,1,16,7,23,22,8,19
17,22,13,19,8,12,20,23,9,18,1,5,16,11,7,24,2,4,6,3,14,21,15,10
16,10,4,1,7,3,9,2,21,6,22,23,15,14,19,8,18,13,5,11,24,12,17,20
19,13,3,10,15,23,1,4,6,12,8,20,9,21,16,2,22,7,17,14,18,11,24,5
9,8,12,22,17,21,18,20,5,7,11,1,24,3,13,14,16,15,19,6,2,10,23,4
14,7,11,6,16,2,5,24,10,19,4,15,23,18,17,22,13,12,20,9,8,3,21,1
24,4,10,18,13,17,21,19,1,5,6,16,2,8,23,15,20,22,11,12,7,9,3,14
23,9,2,8,22,16,15,12,3,20,14,13,4,19,11,7,5,6,24,17,1,18,10,21
7,11,1,5,20,14,6,3,12,22,9,24,21,17,18,10,23,19,13,8,4,15,2,16
