20,29,28,26,25,24,6,30,8,36,35,4,22,13,33,23,10,9,16,11,1,7,14,15,34,32,3,31,5,17,12,27,18,19,21,2
27,15,23,22,19,18,34,29,21,3,13,33,16,32,8,17,7,35,5,24,36,4,28,2,30,6,26,25,14,12,11,31,9,10,20,1
17,16,1,14,11,10,32,24,31,18,9,7,12,29,5,25,19,30,21,34,23,13,27,20,35,33,22,2,15,28,8,26,6,3,4,36
36,13,12,8,9,7,16,28,22,20,27,25,1,18,2,3,6,15,32,26,17,31,10,30,23,29,11,19,21,4,14,24,5,34,33,35
6,5,4,2,3,32,26,23,14,11,1,12,21,36,31,28,34,24,8,22,33,19,35,18,10,9,27,7,20,16,13,30,25,15,17,29
35,34,33,31,30,21,2,19,10,17,15,5,14,4,26,11,20,27,3,6,29,12,9,25,8,36,1,13,24,18,7,22,23,16,32,28
9,11,24,35,2,22,29,31,26,25,23,20,15,5,1,36,8,34,33,32,16,27,7,10,4,12,19,18,30,13,17,28,3,21,6,14
8,21,16,3,4,17,22,6,19,15,14,13,10,30,7,31,12,26,9,25,5,20,23,28,33,34,35,32,1,11,18,29,2,36,24,27
12,10,19,15,1,26,36,32,35,30,28,27,9,11,17,6,23,20,29,18,4,8,34,21,7,22,2,24,3,14,16,25,33,31,5,13
29,7,6,34,32,25,24,21,17,33,11,10,28,3,22,18,35,14,13,2,30,1,31,36,26,5,23,16,9,27,15,8,4,20,19,12
23,30,14,28,31,27,12,9,5,4,18,3,32,33,25,2,16,13,24,17,19,6,11,22,21,20,36,15,8,29,10,7,1,35,34,26
33,18,5,13,36,20,8,7,2,1,16,34,29,27,4,24,21,19,12,15,14,35,3,26,6,25,17,10,28,31,9,23,32,30,22,11
24,8,29,36,18,19,9,4,11,28,10,1,7,34,23,20,22,12,17,21,35,14,26,6,16,3,32,33,2,30,5,15,31,13,27,25
34,22,9,20,35,15,18,3,32,19,2,6,26,10,16,14,36,17,25,8,31,33,5,7,1,21,29,27,13,24,4,12,30,28,11,23
21,2,26,16,6,11,33,5,20,29,25,8,19,35,27,32,15,4,1,30,18,28,13,12,17,23,31,22,34,9,3,36,24,14,7,10
13,12,32,5,27,3,14,22,7,24,17,16,25,21,28,30,1,31,10,23,20,29,15,34,19,8,4,11,36,6,2,35,26,33,18,9
7,14,31,33,17,1,30,13,15,23,12,21,24,8,3,29,2,5,19,36,11,9,4,27,28,26,18,35,25,10,6,34,20,32,16,22
28,25,30,4,10,23,27,36,34,31,26,35,13,6,18,33,9,11,2,3,22,16,32,24,12,15,14,20,7,5,1,17,19,29,8,21
32,35,3,10,7,16,20,27,30,13,21,15,17,22,11,26,24,18,28,9,34,36,25,33,5,2,6,1,23,19,31,4,29,12,14,8
25,4,34,1,26,12,17,16,28,9,33,23,5,2,32,19,14,6,35,31,24,10,30,8,29,27,20,21,18,15,36,3,22,11,13,7
11,20,21,30,24,14,19,2,4,22,8,31,3,12,15,9,27,1,23,16,32,17,18,29,25,13,7,34,33,36,35,5,28,26,10,6
15,33,36,19,8,28,10,18,3,7,29,11,23,16,30,35,13,21,26,14,6,5,22,1,24,31,12,17,4,32,34,2,27,25,9,20
31,17,2,29,22,13,25,12,6,5,36,32,33,28,10,34,4,8,27,20,7,15,19,11,14,35,9,26,16,3,30,1,21,24,23,18
18,6,27,23,5,9,35,34,1,26,24,14,31,25,20,7,29,36,4,12,21,3,2,13,11,30,10,28,22,8,33,32,16,17,15,19
26,1,13,12,15,2,28,20,9,16,3,17,30,31,19,22,18,10,7,4,27,34,33,32,36,24,21,8,6,35,25,11,14,23,29,5
14,3,25,9,23,34,11,35,33,21,31,19,36,15,13,12,26,7,6,5,2,18,1,16,32,4,30,29,27,20,24,10,8,22,28,17
30,32,35,27,29,33,1,10,36,6,5,24,20,17,14,4,25,2,31,28,26,22,8,3,13,11,16,23,19,34,21,9,7,18,12,15
19,24,22,21,28,4,7,26,27,8,34,30,11,9,6,5,3,29,14,10,25,23,20,35,15,18,33,12,17,1,32,13,36,2,31,16
10,31,18,17,16,8,23,25,29,14,32,22,27,24,34,21,33,28,15,13,12,11,36,19,9,7,5,3,26,2,20,6,35,1,30,4
5,36,11,7,20,6,13,15,18,12,4,2,8,23,35,1,32,16,30,29,9,24,21,17,31,28,25,14,10,22,19,33,34,27,26,3
22,26,17,6,14,36,5,11,13,2,7,28,35,19,29,27,31,32,18,33,10,30,16,4,20,1,24,9,12,25,23,21,15,8,3,34
16,27,20,18,12,31,21,17,25,10,6,26,34,1,9,15,30,3,36,35,28,32,24,5,22,19,8,4,11,23,29,14,13,7,2,33
4,9,10,25,13,35,31,33,24,27,22,36,18,7,21,8,5,23,11,19,15,2,12,14,3,16,34,30,29,26,28,20,17,6,1,32
3,28,8,11,21,30,4,1,16,32,20,29,2,26,24,10,17,22,34,7,13,25,6,23,18,14,15,5,35,33,27,19,12,9,36,31
2,23,15,24,34,29,3,14,12,35,19,9,4,20,36,16,28,33,22,1,8,21,17,31,27,10,13,6,32,7,26,18,11,5,25,30
1,19,7,32,33,5,15,8,23,34,30,18,6,14,12,13,11,25,20,27,3,26,29,9,2,17,28,36,31,21,22,16,10,4,35,24
