15,20,6,19,24,14,22,10,18,7,11,1,9,23,13,17,3,16,25,21,2,12,4,8,5
16,25,14,13,21,11,5,12,1,8,17,2,3,22,6,4,9,18,23,10,24,15,7,20,19
1,9,8,5,7,2,13,3,6,21,19,12,16,4,18,15,14,24,11,20,17,23,22,25,10
23,11,22,3,12,17,4,24,16,20,21,10,15,7,25,2,5,19,6,8,18,1,9,13,14
4,2,17,18,10,25,19,9,15,23,20,5,24,8,14,1,13,12,22,7,11,21,3,6,16
19,16,10,8,6,15,24,23,11,22,18,25,1,3,12,9,21,20,14,13,4,5,2,7,17
11,22,9,4,18,16,14,2,25,12,13,24,20,10,23,3,7,5,15,17,8,6,1,19,21
5,12,21,7,17,8,6,4,13,1,14,11,22,15,9,19,10,2,24,23,20,18,16,3,25
24,23,3,25,2,21,10,20,9,5,7,19,17,16,4,18,6,1,8,11,15,14,13,12,22
14,13,20,1,15,7,18,17,3,19,8,6,5,21,2,16,4,25,12,22,10,24,23,9,11
6,17,19,21,14,23,20,11,22,9,24,18,12,25,16,13,2,3,5,15,7,10,8,4,1
22,3,18,20,16,5,8,7,4,10,15,14,13,2,21,11,24,9,1,19,12,17,25,23,6
13,8,4,10,25,1,15,16,2,18,5,17,23,11,22,12,20,21,7,6,19,9,24,14,3
7,1,12,24,11,19,25,13,21,6,10,8,4,9,3,23,18,17,16,14,5,2,20,22,15
2,15,23,9,5,12,3,14,24,17,1,20,7,6,19,22,8,10,4,25,13,16,21,11,18
21,18,2,11,23,4,12,22,19,15,9,3,6,17,20,8,1,13,10,5,25,7,14,16,24
8,6,25,15,19,3,2,21,20,14,16,22,18,24,10,7,17,23,9,4,1,13,11,5,12
10,5,1,14,4,13,9,25,7,24,23,15,21,12,8,6,16,11,19,3,22,20,18,17,2
9,24,13,12,3,18,1,6,17,16,25,7,14,5,11,20,15,22,21,2,23,4,19,10,8
20,7,16,17,22,10,23,8,5,11,4,13,2,19,1,24,25,14,18,12,21,3,6,15,9
17,4,11,23,8,6,16,1,14,13,22,21,19,18,24,5,12,15,20,9,3,25,10,2,7
25,14,24,22,13,9,7,5,12,2,6,23,10,20,17,21,11,8,3,18,16,19,15,1,4
18,10,15,6,1,22,17,19,8,4,3,16,25,13,5,14,23,7,2,24,9,11,12,21,20
3,21,7,2,9,20,11,18,23,25,12,4,8,1,15,10,19,6,17,16,14,22,5,24,13
12,19,5,16,20,24,21,15,10,3,2,9,11,14,7,25,22,4,13,1,6,8,17,18,23
