16,4,1,12,19,14,18,15,13,17,9,11,8,10,7,5,3,6,2,20
8,10,14,11,18,6,4,3,2,1,15,13,5,20,16,9,12,7,17,19
7,3,6,9,17,20,11,10,8,5,4,2,19,12,1,16,13,15,14,18
5,2,13,20,15,12,9,7,19,16,14,6,3,18,17,10,8,4,1,11
2,9,4,1,13,15,14,19,18,20,6,3,12,11,10,17,7,5,8,16
17,15,16,5,11,4,10,1,12,13,7,19,18,14,8,20,2,3,6,9
6,18,12,8,7,5,3,16,11,9,2,17,4,15,20,19,10,1,13,14
3,14,20,19,10,2,8,17,7,6,5,1,13,16,9,12,11,18,4,15
20,5,2,14,4,18,17,9,15,8,1,10,16,19,11,7,6,12,3,13
18,12,10,7,1,11,16,6,20,14,3,8,17,5,13,4,15,19,9,2
15,19,3,17,8,13,12,5,4,7,18,9,20,6,2,14,16,11,10,1
9,13,11,16,6,1,19,2,3,10,12,7,15,4,14,18,5,8,20,17
10,11,8,15,5,3,20,4,9,2,17,18,1,7,6,13,19,14,16,12
1,20,9,13,2,19,6,14,17,12,16,15,11,8,5,3,18,10,7,4
4,17,7,18,12,10,5,8,16,11,13,14,9,3,19,2,1,20,15,6
14,6,19,3,16,7,13,18,1,15,20,12,10,2,4,11,17,9,5,8
11,1,5,2,14,17,7,12,10,4,8,20,6,13,18,15,9,16,19,3
13,8,17,4,3,16,15,11,6,19,10,5,14,9,12,1,20,2,18,7
19,16,18,6,20,9,2,13,5,3,11,4,7,1,15,8,14,17,12,10
12,7,15,10,9,8,1,20,14,18,19,16,2,17,3,6,4,13,11,5
