20,3,16,12,2,1,13,10,7,17,15,6,18,4,5,21,11,9,19,14,8
15,14,7,19,4,5,11,9,1,21,16,12,13,8,2,20,10,3,18,17,6
17,8,9,18,6,10,21,11,2,5,20,19,3,14,12,16,7,4,1,13,15
6,18,21,15,10,8,17,20,4,13,3,2,1,16,11,12,9,7,5,19,14
5,2,20,13,3,7,16,19,15,12,14,11,10,9,21,17,18,8,6,4,1
4,1,19,11,9,12,14,8,21,18,17,7,6,5,3,2,16,15,13,10,20
9,17,6,21,1,4,18,13,20,11,7,14,16,12,19,10,8,2,3,15,5
13,19,12,10,14,3,5,1,17,9,2,15,8,21,18,11,6,20,7,16,4
2,16,8,7,11,20,15,5,10,6,18,4,19,3,14,9,21,1,17,12,13
12,7,18,8,17,15,1,4,19,16,5,20,2,10,6,13,14,11,9,21,3
16,10,13,2,21,19,3,18,9,14,6,1,15,11,7,4,17,5,8,20,12
14,11,5,4,20,6,9,3,13,8,21,17,12,7,1,19,15,10,16,18,2
8,9,2,1,12,17,19,7,16,10,4,18,21,13,15,14,5,6,20,3,11
18,4,3,20,5,16,6,15,8,1,11,9,14,19,13,7,12,17,21,2,10
11,21,15,14,7,13,10,17,6,3,12,5,20,2,8,18,19,16,4,1,9
1,12,10,16,15,18,8,6,3,4,19,13,7,17,20,5,2,14,11,9,21
7,20,14,3,13,9,2,21,11,15,1,16,5,18,17,6,4,12,10,8,19
21,6,17,5,19,11,4,14,12,2,10,8,9,20,16,3,1,13,15,7,18
19,5,4,9,16,14,7,12,18,20,8,3,11,1,10,15,13,21,2,6,17
3,15,1,17,18,21,12,2,5,7,13,10,4,6,9,8,20,19,14,11,16
10,13,11,6,8,2,20,16,14,19,9,21,17,15,4,1,3,18,12,5,7
