4,15,11,7,28,25,21,19,24,13,17,27,32,31,14,16,10,12,22,26,8,5,9,20,3,18,30,6,2,1,23,29
18,26,10,6,22,14,11,8,21,9,15,29,2,3,28,17,4,1,23,30,7,27,12,32,16,31,24,13,5,20,19,25
17,14,28,5,32,31,24,23,8,7,20,25,12,30,1,10,11,18,19,21,6,29,16,13,2,27,15,26,4,3,9,22
16,13,9,2,5,4,3,1,22,26,14,23,11,15,27,7,8,20,25,29,21,30,18,31,28,19,32,12,10,24,17,6
32,27,23,20,15,17,13,12,4,19,11,31,8,21,18,6,7,5,14,3,1,24,2,10,9,25,29,22,16,28,30,26
31,25,22,19,30,16,27,26,3,1,6,12,20,29,5,24,9,28,32,2,4,23,15,17,10,11,7,21,18,13,14,8
30,12,8,3,18,10,29,2,16,32,5,28,13,19,23,9,27,24,6,17,11,26,22,25,20,14,4,1,21,31,15,7
29,24,21,1,9,7,6,20,30,10,2,18,26,22,25,4,16,31,13,15,3,28,19,14,23,8,17,5,11,27,12,32
28,18,14,30,12,1,31,15,27,6,4,2,29,10,9,19,5,22,17,23,26,7,20,11,24,13,8,3,25,21,32,16
11,21,4,29,10,3,30,16,17,18,13,8,14,7,22,32,1,15,26,20,31,12,24,28,25,5,23,2,27,9,6,19
27,17,3,13,7,32,22,29,23,16,21,15,18,12,11,5,2,25,4,9,30,10,8,6,14,1,20,19,31,26,28,24
26,10,19,12,25,6,8,17,14,5,3,1,31,28,21,20,13,27,18,24,15,2,32,16,30,29,11,9,23,7,22,4
25,7,15,9,23,11,20,13,32,30,28,24,3,4,2,1,6,14,12,19,27,22,29,21,26,16,31,10,17,8,5,18
24,6,2,8,27,21,19,9,31,29,26,20,25,23,16,15,32,7,10,11,5,4,3,1,22,17,28,18,30,14,13,12
23,20,1,16,26,2,4,5,25,22,19,7,24,17,6,8,3,30,31,28,18,14,13,9,21,12,27,32,15,11,29,10
22,5,32,31,14,24,18,28,12,11,10,9,30,27,26,13,29,8,21,16,19,25,17,23,15,7,6,4,3,2,1,20
10,31,16,27,19,26,15,14,2,24,9,6,5,20,32,23,25,4,3,1,29,17,30,18,13,21,22,7,28,12,8,11
21,29,13,26,6,30,7,10,28,27,8,4,17,1,12,25,19,9,2,32,20,16,23,24,18,15,14,11,22,5,31,3
20,28,12,25,21,27,17,32,1,23,22,3,16,2,19,18,14,11,8,7,13,15,6,4,5,9,10,31,26,29,24,30
19,11,7,24,20,8,23,31,29,25,18,13,9,14,15,30,12,6,5,10,2,21,1,22,17,3,26,28,32,16,4,27
15,3,18,23,16,5,28,11,20,21,7,10,4,13,29,27,31,26,24,22,12,9,14,8,1,32,19,30,6,17,25,2
9,2,6,22,3,29,12,4,26,14,30,32,21,11,10,31,17,16,15,13,28,19,5,27,8,24,25,20,1,18,7,23
8,30,5,4,1,9,2,24,19,17,16,11,28,26,7,22,23,21,20,18,25,32,31,3,29,6,12,27,13,15,10,14
14,1,17,32,13,22,25,18,15,31,12,5,6,8,24,3,30,29,28,27,10,11,26,7,4,2,16,23,20,19,21,9
7,23,31,11,24,20,5,3,13,12,29,19,10,9,8,28,15,17,30,6,16,18,21,26,32,4,2,25,14,22,27,1
6,19,26,10,31,18,16,27,11,4,1,30,15,32,17,2,24,13,29,14,23,3,28,5,12,22,9,8,7,25,20,21
13,22,25,21,2,15,9,30,7,3,24,14,1,18,4,11,28,32,16,12,17,20,27,19,6,23,5,29,8,10,26,31
5,16,30,15,17,23,32,21,18,2,25,26,27,24,31,12,22,10,1,8,9,6,11,29,7,20,13,14,19,4,3,28
3,9,29,18,4,28,14,25,10,8,32,17,19,16,20,21,26,23,11,5,22,31,7,12,27,30,1,15,24,6,2,13
2,8,24,17,11,12,26,6,9,20,27,22,23,25,13,14,21,19,7,4,32,1,10,15,31,28,3,16,29,30,18,5
12,4,20,14,29,13,1,22,6,28,23,16,7,5,30,26,18,3,27,31,24,8,25,2,19,10,21,17,9,32,11,15
1,32,27,28,8,19,10,7,5,15,31,21,22,6,3,29,20,2,9,25,14,13,4,30,11,26,18,24,12,23,16,17
