11,21,14,8,4,19,15,20,9,26,17,29,5,7,27,28,10,13,23,1,16,3,25,12,18,30,6,2,22,24
25,15,13,7,3,14,21,23,5,12,6,22,16,1,8,26,2,19,17,24,9,30,10,28,27,11,18,29,4,20
24,20,19,6,2,10,3,29,18,25,9,30,11,23,4,21,27,12,5,8,22,17,1,7,26,14,13,28,16,15
23,18,10,12,1,27,13,22,11,7,21,20,15,28,19,16,9,14,4,30,24,29,8,2,6,26,17,3,25,5
22,16,9,5,17,8,2,30,28,6,18,3,24,26,13,15,25,29,11,7,20,23,4,14,19,10,12,1,27,21
30,29,28,27,26,24,1,17,16,4,14,10,2,25,12,3,20,22,6,18,11,15,13,21,5,9,8,23,7,19
29,7,24,4,11,22,20,13,12,8,10,25,19,3,28,2,15,30,1,23,6,9,18,26,14,16,5,17,21,27
27,6,23,19,10,29,5,28,3,1,11,26,17,15,18,12,13,16,21,20,4,22,2,8,24,7,30,9,14,25
28,5,22,17,9,21,19,18,26,15,2,14,29,24,30,10,6,7,8,27,1,20,16,25,13,4,3,11,23,12
26,3,30,15,13,7,6,4,2,16,1,9,12,20,21,14,11,25,18,22,17,5,27,29,23,19,10,24,28,8
21,2,18,14,8,30,27,25,24,23,13,4,7,22,16,5,29,9,19,17,3,12,28,11,10,6,1,20,15,26
20,1,25,16,12,17,14,11,10,9,27,8,23,5,6,4,24,28,3,26,21,19,30,15,7,18,29,13,2,22
7,14,12,30,15,4,23,24,20,5,29,28,21,8,1,6,3,18,22,2,26,27,19,13,11,17,25,16,10,9
19,13,11,26,22,2,29,10,27,14,23,24,20,18,9,17,16,15,12,25,8,7,6,4,3,28,21,30,5,1
6,25,8,29,27,9,16,12,1,3,26,5,4,17,22,24,21,20,30,28,15,14,23,10,2,13,11,7,19,18
5,24,3,10,21,15,28,26,7,11,30,27,13,19,2,23,4,1,14,9,25,18,17,16,12,22,20,8,29,6
18,4,2,9,20,25,17,8,13,22,16,11,10,6,3,29,7,27,26,19,28,21,5,30,1,15,14,12,24,23
17,23,1,28,16,6,30,19,21,18,25,15,14,12,7,8,5,10,13,11,29,24,22,20,9,27,26,4,3,2
16,17,29,25,30,5,12,9,8,10,3,18,27,4,14,7,1,24,2,15,23,28,26,22,21,20,19,6,13,11
15,11,21,23,28,3,26,1,22,30,7,12,6,29,17,25,18,8,16,4,13,10,24,19,20,5,2,27,9,14
4,10,26,22,6,13,7,15,25,24,8,2,1,16,5,19,17,3,20,14,27,11,12,9,29,23,28,21,18,30
3,9,20,2,5,28,4,14,6,29,24,19,26,11,10,13,23,21,27,12,30,25,15,18,17,8,7,22,1,16
13,8,7,1,19,23,18,27,17,20,22,21,30,9,15,11,28,26,10,29,5,2,14,6,16,24,4,25,12,3
14,12,27,24,18,16,11,2,19,21,28,23,25,13,20,30,22,5,9,6,7,4,3,1,8,29,15,10,26,17
2,28,6,11,29,12,10,16,14,13,4,17,8,21,24,22,26,23,15,5,18,1,9,3,30,25,27,19,20,7
12,30,17,13,25,1,22,7,29,27,20,16,18,14,23,9,19,6,28,21,2,26,11,5,4,3,24,15,8,10
10,22,5,21,24,11,25,6,23,19,15,1,3,27,26,20,12,4,7,16,14,8,29,17,28,2,9,18,30,13
9,27,16,20,23,26,8,3,30,2,19,7,28,10,29,18,14,17,25,13,12,6,21,24,15,1,22,5,11,4
8,26,15,3,7,18,24,21,4,17,5,13,9,2,25,1,30,11,29,10,19,16,20,27,22,12,23,14,6,28
1,19,4,18,14,20,9,5,15,28,12,6,22,30,11,27,8,2,24,3,10,13,7,23,25,21,16,26,17,29
