1,5,9,17,8,4,3,23,18,15,20,6,7,14,21,16,11,2,13,19,26,24,12,10,22,25,27
25,27,21,20,16,24,7,13,2,10,1,5,19,4,18,12,22,26,3,8,14,17,6,23,9,11,15
11,22,14,12,15,6,26,10,19,9,23,27,3,25,13,17,8,24,1,18,16,5,20,4,2,21,7
24,13,27,18,4,2,20,9,16,19,14,12,26,23,3,8,6,15,11,10,25,7,22,21,5,1,17
23,11,26,7,12,1,19,8,15,5,27,21,17,10,22,20,25,18,9,4,3,16,2,6,24,14,13
21,10,25,6,3,22,17,5,14,24,2,13,1,11,7,9,16,4,15,12,23,27,26,8,19,20,18
17,3,24,27,21,14,11,7,5,26,25,9,18,6,4,2,13,1,8,23,22,20,19,15,16,12,10
16,2,23,26,19,13,9,20,4,8,22,7,12,15,5,11,3,10,24,27,21,18,25,17,14,6,1
15,1,22,25,18,12,8,6,10,27,17,16,14,24,23,21,20,19,26,9,11,13,7,5,4,3,2
2,9,20,15,17,7,12,22,3,16,5,11,13,8,26,4,1,14,10,21,6,23,18,25,27,24,19
27,18,19,13,26,25,4,16,23,2,6,17,21,20,15,24,10,9,14,7,12,3,11,1,8,5,22
6,14,8,11,5,10,24,21,1,12,18,25,22,3,27,19,7,23,16,2,17,15,9,20,13,26,4
4,23,18,8,22,26,21,19,20,25,10,14,15,13,11,27,24,16,7,3,2,6,5,9,1,17,12
5,25,17,2,11,27,10,15,13,6,3,18,9,7,19,1,12,21,22,20,8,26,4,24,23,16,14
3,24,7,1,9,16,6,14,12,23,8,20,5,2,17,26,4,22,19,25,15,11,13,27,10,18,21
10,8,16,21,24,3,14,2,11,17,19,4,20,1,6,5,27,7,12,26,18,9,15,22,25,13,23
20,4,15,22,27,5,18,1,26,21,11,23,16,12,10,13,9,25,6,17,19,8,14,3,7,2,24
12,17,13,19,7,9,23,25,6,22,26,15,24,18,8,14,2,3,27,5,10,1,16,11,21,4,20
26,7,12,16,23,19,13,3,22,20,4,8,6,21,24,18,17,11,2,1,9,25,27,14,15,10,5
18,15,6,9,14,20,1,17,25,3,13,19,10,16,2,7,5,27,21,24,4,22,23,12,11,8,26
8,21,5,10,2,11,27,4,24,1,9,22,23,26,25,15,14,12,20,16,13,19,17,18,3,7,6
22,6,11,14,1,17,15,12,21,18,24,10,2,9,16,25,19,5,23,13,7,4,8,26,20,27,3
13,19,4,24,10,18,25,26,9,7,15,3,8,27,1,6,23,20,17,11,5,14,21,2,12,22,16
7,16,3,5,20,23,2,27,8,4,12,26,11,17,14,22,21,13,25,6,1,10,24,19,18,15,9
19,12,2,23,6,8,16,11,27,14,7,1,4,22,20,10,18,17,5,15,24,21,3,13,26,9,25
14,26,1,4,25,21,5,24,17,13,16,2,27,19,9,3,15,8,18,22,20,12,10,7,6,23,11
9,20,10,3,13,15,22,18,7,11,21,24,25,5,12,23,26,6,4,14,27,2,1,16,17,19,8
