3,6,1,21,14,13,12,9,7,5,2,11,20,17,8,18,4,15,10,16,19
10,12,11,19,8,5,17,3,18,16,20,9,21,7,4,1,2,14,15,13,6
9,5,15,10,3,1,4,20,19,6,12,21,2,14,13,17,16,7,18,8,11
8,4,21,18,2,16,11,14,15,17,7,3,1,12,10,6,19,13,20,9,5
17,14,20,11,9,4,21,2,1,13,18,15,19,16,6,5,10,8,12,7,3
7,2,19,20,15,17,16,6,13,14,10,8,5,3,18,9,11,12,1,21,4
16,13,18,12,7,6,10,8,5,19,4,1,11,15,9,21,20,3,14,17,2
12,15,8,14,6,19,18,21,2,4,1,7,10,9,17,13,5,16,3,11,20
5,10,17,4,20,3,8,1,14,2,16,18,15,13,7,19,12,11,9,6,21
4,11,7,9,17,18,15,12,10,20,21,19,16,6,5,8,3,1,13,2,14
2,9,16,1,5,10,20,13,11,8,6,12,18,4,3,14,15,21,7,19,17
19,21,14,16,13,8,9,7,6,3,11,5,12,2,20,10,18,17,4,1,15
1,20,13,15,21,12,5,4,3,9,17,14,8,11,19,7,6,2,16,18,10
18,3,6,7,11,2,19,17,16,10,15,13,14,1,21,4,9,20,5,12,8
21,19,5,13,16,14,3,15,12,7,9,6,4,8,11,2,1,10,17,20,18
14,8,4,3,19,7,6,10,9,1,13,20,17,18,2,16,21,5,11,15,12
20,18,3,6,1,11,2,19,21,15,14,17,7,5,16,12,13,4,8,10,9
15,7,2,17,18,9,13,11,4,21,8,16,3,10,12,20,14,19,6,5,1
13,17,12,5,4,20,14,18,8,11,19,10,9,21,1,15,7,6,2,3,16
11,1,10,8,12,15,7,16,20,18,5,2,6,19,14,3,17,9,21,4,13
6,16,9,2,10,21,1,5,17,12,3,4,13,20,15,11,8,18,19,14,7
