13,7,1,17,26,8,6,25,9,4,22,14,3,2,19,24,18,12,16,27,20,11,15,5,21,23,10,28
11,6,19,15,2,1,27,5,12,28,8,24,4,10,13,20,9,14,3,21,18,16,26,23,17,7,22,25
10,5,16,14,23,3,21,20,2,11,19,25,15,7,18,8,4,28,22,17,1,27,9,24,13,6,26,12
9,4,18,3,19,22,28,13,15,20,17,7,1,6,16,25,2,26,23,11,21,14,12,10,24,5,27,8
23,21,28,25,12,16,7,9,26,18,5,13,17,14,27,11,8,24,10,15,6,3,22,4,19,20,2,1
22,20,27,24,11,18,15,14,1,6,21,10,12,23,26,28,25,5,7,13,2,17,8,19,3,4,16,9
8,2,26,12,10,17,24,4,3,16,27,23,21,5,9,22,1,6,20,19,13,28,7,25,15,18,14,11
5,28,25,9,18,6,10,17,7,3,13,26,14,22,11,1,24,23,12,4,19,2,21,15,8,16,20,27
4,19,24,8,7,11,22,2,10,27,15,16,20,17,25,3,6,13,5,28,9,26,14,12,18,1,23,21
15,27,12,21,5,14,25,24,6,1,11,22,23,13,8,26,7,18,2,16,3,10,20,28,4,9,19,17
3,18,11,7,13,20,8,1,14,25,28,17,5,4,2,21,15,19,9,10,16,24,23,27,6,22,12,26
14,17,23,20,16,15,19,21,4,2,9,5,24,18,12,6,27,3,1,26,11,22,25,8,10,28,13,7
2,16,10,6,4,9,26,23,8,24,12,18,27,19,28,7,20,22,21,25,17,1,5,13,11,14,3,15
1,26,22,13,28,27,3,12,19,21,23,20,16,9,10,15,14,11,17,8,4,7,18,6,25,24,5,2
27,15,9,23,17,12,11,10,18,14,25,28,19,16,22,13,26,7,4,3,24,5,2,1,20,8,21,6
26,14,21,22,15,13,9,7,5,17,16,11,8,3,1,2,28,27,24,18,25,23,6,20,12,10,4,19
25,13,8,5,24,21,20,18,27,26,6,19,11,15,7,4,23,17,14,2,28,12,10,9,22,3,1,16
28,11,7,4,6,2,1,16,24,23,20,3,18,21,14,10,22,25,13,12,15,8,19,17,27,26,9,5
12,10,6,18,8,5,4,3,22,9,7,2,26,27,20,17,21,15,19,1,14,13,16,11,28,25,24,23
24,3,17,2,25,28,23,19,13,15,4,1,9,12,6,5,16,10,8,20,22,21,27,26,14,11,7,18
19,1,20,16,27,26,14,22,21,12,10,8,28,25,24,23,11,9,6,5,7,18,4,3,2,17,15,13
6,23,15,11,14,24,2,27,28,22,3,12,7,26,21,18,19,20,25,9,8,4,1,16,5,13,17,10
21,25,14,28,3,4,5,15,23,8,2,27,13,20,17,9,10,16,26,22,12,6,11,7,1,19,18,24
7,22,5,26,20,10,13,8,17,19,18,9,25,24,4,27,12,1,11,14,23,15,28,21,16,2,6,3
20,12,4,27,9,7,17,28,25,13,1,15,6,8,5,16,3,2,18,23,10,19,24,14,26,21,11,22
18,9,3,10,21,19,16,11,20,5,14,6,2,1,23,12,13,8,27,24,26,25,17,22,7,15,28,4
17,24,13,19,1,25,18,6,16,10,26,21,22,11,15,14,5,4,28,7,27,9,3,2,23,12,8,20
16,8,2,1,22,23,12,26,11,7,24,4,10,28,3,19,17,21,15,6,5,20,13,18,9,27,25,14
