13,12,2,5,18,15,8,6,9,11,17,16,3,14,4,7,1,10
7,10,18,12,14,3,17,15,4,13,6,8,5,2,9,1,16,11
3,9,1,4,12,11,14,10,8,16,2,7,18,17,15,6,5,13
4,14,7,17,5,2,11,9,10,15,1,13,8,6,3,16,12,18
15,8,16,11,7,1,13,12,3,6,18,14,10,4,2,5,17,9
17,16,15,10,4,6,7,2,12,18,9,5,1,11,13,8,3,14
11,6,14,9,17,13,4,1,5,2,10,3,16,15,12,18,7,8
1,18,13,8,16,10,3,5,7,17,4,15,12,9,14,11,6,2
2,5,6,3,9,8,18,16,14,1,11,12,7,13,10,17,4,15
16,15,17,7,3,14,6,13,2,9,5,4,11,8,18,12,10,1
6,13,9,15,2,12,10,3,18,8,16,1,14,7,5,4,11,17
10,1,12,6,13,18,15,8,17,5,14,11,4,3,7,9,2,16
12,4,8,14,11,17,9,7,6,3,13,18,2,16,1,10,15,5
14,7,5,18,1,9,16,4,11,10,3,2,15,12,17,13,8,6
9,17,11,2,15,16,5,18,13,4,12,10,6,1,8,3,14,7
18,3,4,1,10,7,2,17,16,14,8,6,9,5,11,15,13,12
8,2,3,13,6,5,12,11,1,7,15,9,17,10,16,14,18,4
5,11,10,16,8,4,1,14,15,12,7,17,13,18,6,2,9,3
