25,20,13,8,4,30,17,24,10,27,15,7,21,26,22,2,16,5,6,29,23,19,28,11,1,12,3,14,9,18
24,19,12,7,3,29,2,22,6,26,13,16,11,8,4,1,23,18,27,17,20,14,9,30,5,15,28,25,21,10
23,17,15,6,2,28,30,21,29,9,5,18,20,14,13,25,12,19,1,3,22,16,26,10,24,7,4,27,11,8
22,16,11,18,1,27,19,25,14,4,12,8,28,24,3,29,9,10,5,15,21,7,13,2,20,23,6,26,17,30
21,14,10,5,9,26,1,28,23,20,11,3,17,15,27,30,6,7,4,25,12,24,18,8,29,22,13,2,19,16
10,7,19,13,17,20,29,3,9,16,28,12,23,4,14,8,27,24,2,1,15,18,22,5,21,11,25,6,30,26
9,6,28,24,16,3,23,27,25,30,19,15,2,10,1,13,22,29,14,4,17,26,11,21,7,5,18,20,8,12
30,5,27,23,21,2,8,17,13,14,10,11,6,25,26,18,7,28,12,24,19,9,16,20,15,3,1,4,29,22
29,18,26,22,15,11,7,2,4,1,20,5,12,17,9,3,21,30,23,13,8,27,6,25,28,16,19,24,10,14
8,4,25,12,14,1,21,6,26,22,18,24,15,19,16,11,5,20,28,30,7,10,29,3,17,13,23,9,2,27
11,13,8,16,30,25,14,7,20,3,24,6,1,2,15,26,17,9,19,18,10,5,23,29,4,27,12,22,28,21
28,22,6,15,29,24,18,1,5,12,4,27,7,21,30,23,25,8,9,20,16,2,14,17,11,19,26,10,3,13
27,21,5,17,20,23,13,10,19,15,30,2,14,12,24,22,4,3,11,26,25,28,8,6,18,1,9,16,7,29
26,3,4,14,19,12,25,9,16,28,23,22,10,11,18,5,29,6,15,7,27,1,21,13,2,24,30,8,20,17
7,2,1,10,18,9,11,26,8,17,21,29,27,16,28,20,19,13,3,12,24,22,30,4,25,6,14,5,23,15
20,29,24,9,27,17,12,4,2,5,3,14,19,30,23,16,15,22,13,11,28,21,25,18,6,10,8,1,26,7
19,10,23,11,26,15,27,8,1,24,17,28,25,9,7,14,3,4,30,16,29,6,20,22,12,18,5,21,13,2
6,25,22,3,7,14,10,11,18,23,9,30,26,5,8,12,13,21,24,2,1,17,27,15,16,28,20,29,4,19
5,8,18,2,28,13,6,15,21,7,16,25,24,29,20,17,1,27,26,10,3,12,4,19,23,9,22,30,14,11
4,30,21,1,12,16,20,13,22,19,29,26,18,28,11,6,10,2,7,8,14,23,5,9,3,17,27,15,24,25
18,12,30,27,13,19,26,23,7,8,22,20,5,3,10,28,24,16,17,21,6,4,2,1,14,29,15,11,25,9
3,11,20,26,23,8,24,29,17,10,25,9,13,7,6,4,2,1,22,19,18,30,15,14,27,21,16,12,5,28
17,24,29,25,22,10,28,12,27,11,6,4,30,23,21,15,14,26,8,9,5,3,7,16,13,20,2,19,18,1
16,15,14,21,6,7,5,19,3,18,2,1,29,27,25,9,8,17,20,28,13,11,10,12,30,26,24,23,22,4
2,1,9,28,5,4,16,30,15,21,14,13,22,20,12,19,18,11,29,27,26,25,24,23,10,8,7,17,6,3
15,28,17,29,11,21,22,14,30,13,1,23,4,18,19,24,26,12,25,5,9,20,3,27,8,2,10,7,16,6
1,27,7,30,10,18,3,5,11,6,8,19,9,22,2,21,20,15,16,14,4,13,17,24,26,25,29,28,12,23
14,26,3,20,25,6,4,16,12,29,7,21,8,1,5,10,11,23,18,22,2,15,19,28,9,30,17,13,27,24
13,9,2,19,24,5,15,18,28,25,26,17,16,6,29,27,30,14,10,23,11,8,12,7,22,4,21,3,1,20
12,23,16,4,8,22,9,20,24,2,27,10,3,13,17,7,28,25,21,6,30,29,1,26,19,14,11,18,15,5
