4,8,18,24,12,25,10,26,7,11,6,14,5,16,28,9,17,13,20,3,15,19,1,27,22,23,2,21
11,2,7,22,23,15,26,28,9,3,19,1,25,12,6,24,21,10,27,18,8,4,16,20,13,5,17,14
3,21,13,19,28,20,16,4,2,8,18,27,17,15,5,22,12,14,26,1,23,24,11,25,7,9,10,6
17,5,1,27,14,9,6,21,24,20,23,10,22,13,4,7,11,25,2,16,19,12,8,18,28,15,3,26
21,18,25,13,16,7,4,8,5,15,11,9,3,2,22,20,19,28,24,23,17,27,26,14,12,10,6,1
20,15,23,12,10,1,3,19,28,17,16,22,21,18,27,14,26,6,25,4,2,11,13,24,8,7,9,5
19,14,22,11,9,6,17,20,27,26,24,23,4,1,12,10,13,8,7,5,3,25,15,21,18,2,16,28
27,24,28,26,8,5,2,25,10,14,13,7,12,6,21,18,16,15,11,9,1,20,17,22,23,19,4,3
7,4,2,1,11,10,9,5,26,23,17,21,13,28,19,25,22,27,18,15,16,14,6,3,24,12,20,8
12,3,26,17,24,19,18,2,6,10,15,20,11,27,7,21,4,1,8,28,14,22,5,13,9,16,25,23
5,28,8,14,20,16,13,1,4,22,12,19,9,25,24,6,3,17,23,2,26,18,27,11,10,21,15,7
25,6,27,23,15,22,21,16,3,18,14,8,7,24,11,12,20,9,5,13,10,2,28,17,1,26,19,4
15,13,24,4,7,27,11,22,16,2,8,26,6,20,3,17,18,23,28,14,12,10,21,19,5,25,1,9
9,1,6,18,21,23,12,13,17,4,28,11,24,19,2,16,10,5,22,27,25,15,14,8,26,3,7,20
22,26,19,3,5,17,28,10,12,1,25,15,14,7,9,13,8,20,21,11,24,23,4,16,2,6,18,27
10,16,20,2,25,14,8,18,21,9,27,3,23,5,1,15,7,4,19,26,6,17,12,28,11,13,22,24
14,23,17,20,4,3,1,15,8,19,2,6,16,11,25,28,5,12,9,10,27,26,18,7,21,24,13,22
16,12,11,9,22,13,19,14,23,25,21,4,10,3,18,26,6,24,17,8,7,5,20,15,27,1,28,2
18,7,15,10,6,24,5,9,22,28,1,13,27,26,16,23,2,11,14,21,20,3,19,12,17,4,8,25
8,27,21,28,26,2,25,7,18,12,5,24,20,17,15,19,1,3,13,22,4,16,10,9,6,14,23,11
6,11,14,16,2,8,22,3,1,27,20,28,19,4,26,5,23,7,15,12,21,13,9,10,25,18,24,17
23,17,4,15,1,18,7,24,11,13,10,5,8,21,14,2,27,19,6,25,9,28,3,26,20,22,12,16
24,9,3,21,19,12,27,17,25,16,26,18,2,23,10,11,28,22,4,20,13,1,7,6,14,8,5,15
26,25,10,5,13,28,20,6,14,7,9,12,15,22,8,1,24,16,3,17,18,21,2,23,4,11,27,19
2,20,12,8,18,11,14,27,19,24,7,17,1,10,23,4,15,21,16,6,22,9,25,5,3,28,26,13
1,22,16,25,17,26,23,11,15,6,3,2,28,14,13,27,9,18,10,7,5,8,24,4,19,20,21,12
13,19,5,6,3,4,15,12,20,21,22,25,18,9,17,8,14,26,1,24,28,7,23,2,16,27,11,10
28,10,9,7,27,21,24,23,13,5,4,16,26,8,20,3,25,2,12,19,11,6,22,1,15,17,14,18
