22,18,14,10,5,35,30,19,24,13,34,17,8,12,1,26,29,21,4,32,20,3,16,23,7,33,31,11,2,15,6,28,25,27,9
26,4,13,9,3,34,27,16,7,32,14,22,6,21,17,5,33,10,11,35,2,20,28,19,18,1,15,25,12,8,29,24,31,30,23
21,17,29,8,2,33,25,4,11,18,20,31,28,15,6,14,30,23,16,3,24,12,27,5,34,9,10,13,35,7,19,32,22,1,26
20,16,12,6,1,32,24,30,26,9,25,23,27,29,18,28,31,19,7,15,13,35,21,14,17,2,22,8,10,3,34,4,33,5,11
19,15,11,7,28,31,23,10,35,1,2,33,5,3,27,22,12,25,9,34,8,6,24,4,26,32,30,29,20,14,21,18,17,13,16
9,23,20,17,13,10,3,27,5,28,24,19,26,22,35,7,32,18,14,33,6,15,11,34,25,29,16,30,4,2,8,1,12,21,31
7,22,19,16,12,6,26,33,14,2,10,34,29,20,8,3,11,4,17,9,31,18,1,32,35,5,28,21,24,30,15,13,27,23,25
28,35,32,15,30,11,8,9,1,16,4,18,21,17,5,12,2,27,34,25,19,24,33,13,31,23,6,20,22,26,10,14,29,7,3
25,34,18,21,29,5,2,7,12,30,6,35,31,13,23,15,22,1,24,10,26,17,8,3,4,19,14,27,32,16,11,20,9,28,33
24,33,31,14,27,4,1,32,3,23,15,25,11,8,20,30,16,13,21,28,29,10,22,2,12,26,7,9,6,19,5,35,18,34,17
35,25,15,31,10,18,29,5,4,19,30,6,2,9,12,33,17,28,3,24,23,11,26,27,14,7,21,1,34,22,20,16,32,8,13
34,3,6,30,24,17,28,8,20,7,11,32,1,10,16,19,21,14,22,31,5,29,12,15,2,13,9,4,27,25,33,23,26,18,35
33,26,5,20,8,21,11,13,34,22,12,15,3,14,4,25,18,2,1,29,27,19,10,17,23,16,35,32,28,24,31,30,7,9,6
13,14,4,19,23,16,9,21,27,31,29,26,24,25,7,6,8,32,20,30,35,5,3,33,28,18,34,22,11,10,2,17,1,12,15
32,2,27,1,22,12,7,18,33,35,23,28,17,16,15,13,10,34,26,11,9,31,25,20,24,30,8,6,5,4,3,29,21,19,14
31,32,3,26,19,14,10,35,18,17,16,13,12,11,34,27,15,8,6,4,30,9,7,29,22,20,23,2,25,28,24,21,5,33,1
12,24,2,34,18,13,6,28,10,8,7,4,15,1,29,21,35,20,19,17,25,14,31,11,5,3,33,16,30,27,26,9,23,22,32
11,28,1,35,17,9,5,25,23,33,27,21,30,26,22,18,14,24,13,12,10,34,19,8,6,4,32,15,29,20,16,7,3,31,2
30,27,23,33,16,8,15,29,32,24,22,20,19,31,11,9,7,3,5,2,1,26,35,25,21,28,18,17,14,13,12,10,34,6,4
29,21,22,25,20,7,4,34,9,6,5,3,14,2,33,31,28,26,23,16,32,30,13,12,27,10,1,24,18,17,35,19,15,11,8
27,5,24,11,7,29,14,3,21,15,8,12,9,33,28,23,20,35,2,18,17,13,34,16,30,25,19,26,1,32,4,31,6,10,22
23,9,26,4,34,28,13,1,6,25,31,7,18,30,19,16,27,33,10,21,3,8,15,22,32,24,20,35,17,5,14,2,11,29,12
18,1,21,3,33,22,31,20,2,5,35,16,13,23,30,32,34,11,12,6,15,27,14,28,29,17,4,10,19,9,25,8,24,26,7
10,8,25,2,15,20,19,24,29,27,17,14,34,32,26,1,4,5,31,13,22,23,6,7,9,12,11,18,21,35,30,33,16,3,28
17,6,16,12,32,30,35,22,19,11,26,10,4,28,14,24,25,9,29,8,7,33,2,21,1,31,3,5,13,23,27,34,20,15,18
8,13,35,27,31,15,22,2,17,10,32,9,23,7,24,11,19,30,28,20,18,25,5,6,33,21,12,3,16,34,1,26,4,14,29
16,12,33,24,25,19,21,26,28,3,18,29,20,6,32,34,9,31,8,7,4,22,17,1,10,14,2,23,15,11,13,27,30,35,5
6,11,30,23,14,3,20,31,15,34,1,5,33,24,2,10,13,12,35,22,16,32,4,26,8,27,29,19,9,18,7,25,28,17,21
5,10,28,29,26,2,18,14,22,21,19,30,25,4,3,17,23,15,27,1,33,7,9,35,16,11,13,34,31,6,32,12,8,24,20
4,7,34,32,9,1,17,11,16,12,13,8,35,27,21,29,5,6,25,26,14,28,30,18,20,15,24,31,3,33,23,22,19,2,10
3,20,17,28,21,27,34,23,13,14,9,1,7,5,31,35,24,16,33,19,11,4,32,10,15,22,26,12,8,29,18,6,2,25,30
15,31,10,22,6,26,33,17,25,4,21,27,16,34,13,20,3,29,18,14,12,2,23,30,19,8,5,28,7,1,9,11,35,32,24
14,30,9,18,4,25,32,6,8,29,3,24,22,35,10,2,26,17,15,23,21,1,20,31,11,34,27,7,33,12,28,5,13,16,19
2,29,8,13,35,24,16,12,30,26,28,11,10,19,25,4,1,7,32,5,34,21,18,9,3,6,17,33,23,31,22,15,14,20,27
1,19,7,5,11,23,12,15,31,20,33,2,32,18,9,8,6,22,30,27,28,16,29,24,13,35,25,14,26,21,17,3,10,4,34
