1,7,2,16,14,12,8,5,3,26,15,23,18,25,9,17,13,6,10,24,21,11,27,4,19,22,20
11,20,13,10,9,8,25,19,12,17,22,5,4,23,24,1,14,26,18,27,16,3,7,15,2,6,21
10,6,5,23,20,18,16,22,11,2,27,24,1,3,26,19,25,4,15,7,9,12,21,8,13,17,14
22,17,27,13,5,3,26,15,14,4,18,12,8,6,19,10,24,21,11,20,25,16,2,9,7,1,23
21,16,26,7,15,1,4,18,2,14,20,19,27,22,17,3,9,23,6,8,13,5,24,25,12,10,11
19,15,25,6,4,2,23,24,1,16,13,9,5,21,7,11,22,27,14,17,12,20,10,26,18,8,3
18,14,24,27,25,11,7,10,6,8,21,3,13,16,2,20,12,15,5,1,23,17,22,19,4,26,9
9,4,23,26,24,22,20,21,17,1,11,6,12,15,10,8,5,7,19,2,3,18,14,13,16,25,27
8,3,12,21,19,17,9,13,27,25,7,10,14,20,11,2,18,16,4,22,26,6,1,23,5,24,15
14,13,9,18,6,5,19,2,7,24,26,21,20,27,12,4,17,3,22,23,8,1,25,11,10,15,16
12,10,22,11,3,13,21,9,26,20,19,17,24,5,16,6,15,8,2,25,7,4,23,27,1,14,18
6,27,8,12,17,4,5,1,10,18,16,25,15,14,22,21,23,19,9,11,20,26,13,7,3,2,24
16,25,21,9,22,26,13,14,23,6,4,2,3,11,8,7,1,20,24,5,18,15,17,10,27,12,19
5,24,20,25,2,10,11,3,4,15,14,7,21,17,1,18,27,13,26,16,6,19,12,22,23,9,8
4,23,19,20,1,14,27,16,25,10,9,8,26,7,18,22,2,5,17,12,15,24,3,6,11,21,13
15,1,18,24,7,19,22,6,20,13,12,11,23,2,25,14,16,9,3,10,27,8,5,21,17,4,26
3,11,7,15,21,16,18,17,8,27,23,22,19,10,4,24,26,12,1,13,14,2,9,20,6,5,25
2,26,17,8,27,23,15,12,24,5,3,1,9,13,6,25,11,10,21,19,4,14,16,18,20,7,22
25,8,15,2,18,27,6,23,22,12,17,14,10,19,20,13,7,11,16,26,24,9,4,1,21,3,5
24,22,16,5,11,25,2,27,21,9,8,13,17,26,14,23,20,18,12,4,10,7,6,3,15,19,1
23,12,6,1,26,9,24,8,16,3,10,18,7,4,21,5,19,25,27,15,22,13,11,2,14,20,17
27,21,4,3,10,24,17,20,18,11,5,26,22,9,13,15,8,2,7,6,1,23,19,14,25,16,12
20,9,14,22,12,15,3,4,19,21,2,27,11,1,23,16,6,24,25,18,17,10,8,5,26,13,7
26,5,3,19,8,7,1,25,13,22,6,16,2,18,27,9,10,17,20,14,11,21,15,12,24,23,4
13,19,11,14,16,21,12,7,5,23,1,20,6,24,15,26,4,22,8,3,2,25,18,17,9,27,10
7,18,1,17,23,6,10,26,15,19,24,4,25,12,3,27,21,14,13,9,5,22,20,16,8,11,2
17,2,10,4,13,20,14,11,9,7,25,15,16,8,5,12,3,1,23,21,19,27,26,24,22,18,6
