28,13,1,30,12,11,24,23,7,26,31,2,19,6,29,25,32,5,21,22,15,27,18,16,10,14,4,17,8,20,9,3
19,10,31,27,9,6,22,20,18,15,17,1,5,4,13,24,14,7,29,3,28,11,8,12,2,23,30,25,32,16,21,26
16,5,29,26,7,4,21,17,23,12,20,32,11,14,8,3,30,19,25,2,31,1,9,10,28,22,6,18,15,13,27,24
14,32,25,8,2,3,18,15,21,9,28,30,27,22,16,10,26,6,17,23,24,4,20,13,7,19,5,1,31,12,11,29
32,28,18,24,20,9,6,3,11,8,5,29,25,19,2,17,16,14,13,15,12,10,4,1,27,26,23,31,7,22,30,21
31,27,17,23,14,13,5,2,30,7,16,6,4,12,3,1,29,25,28,24,22,26,21,19,15,20,11,10,9,8,32,18
30,26,16,22,11,8,12,1,15,21,14,13,20,10,9,18,23,31,7,5,27,3,2,32,29,28,25,24,6,4,19,17
29,25,15,21,10,7,4,19,31,32,24,28,23,27,22,26,11,9,8,30,20,18,17,6,5,16,14,3,13,2,1,12
23,8,4,17,19,24,28,7,32,13,10,5,29,26,31,20,3,16,2,25,18,15,22,21,6,11,27,9,12,30,14,1
1,29,21,11,31,15,3,32,6,18,9,4,22,24,30,19,5,8,27,26,14,12,28,20,16,2,10,23,17,25,13,7
25,22,14,13,26,10,27,12,2,11,7,3,16,23,28,15,9,30,24,1,17,6,32,31,20,18,19,4,21,5,29,8
2,20,6,5,18,16,30,9,1,25,8,17,14,21,27,12,10,23,19,11,4,13,7,29,32,31,3,22,26,24,28,15
9,30,12,25,13,28,10,8,17,31,27,24,15,11,6,4,1,22,23,7,19,14,3,26,21,29,2,32,20,18,5,16
7,14,22,32,21,27,19,11,16,30,26,20,12,3,5,2,17,29,31,13,6,9,25,18,4,1,28,8,24,15,10,23
6,3,24,2,1,17,23,18,14,29,22,19,10,9,25,32,28,4,20,16,21,8,15,5,13,27,12,26,30,11,7,31
20,31,26,4,15,5,29,16,13,28,21,18,7,8,1,23,12,11,32,27,30,24,10,2,3,17,9,14,25,6,22,19
27,23,2,15,5,19,13,25,26,3,1,8,24,17,11,22,4,10,18,28,29,31,16,9,12,21,20,7,14,32,6,30
26,4,10,20,6,14,32,29,19,16,23,12,9,18,7,28,15,27,30,21,8,25,11,24,1,5,31,2,22,3,17,13
21,11,9,1,17,18,8,30,29,4,15,31,32,2,14,6,13,3,22,12,7,20,5,23,26,25,24,19,28,10,16,27
24,12,3,7,28,31,16,22,20,27,13,25,30,5,10,21,6,2,26,14,32,19,1,17,18,4,8,15,11,29,23,9
11,1,7,3,22,21,17,13,12,10,18,23,28,25,19,16,31,32,15,20,2,29,14,8,30,6,26,5,27,9,24,4
10,6,32,31,24,12,15,14,9,2,4,22,17,1,26,30,27,28,11,19,5,16,13,7,25,8,21,29,3,23,18,20
8,2,28,19,29,30,9,27,24,5,32,21,31,7,20,13,25,26,10,18,3,23,6,4,11,15,17,16,1,14,12,22
4,16,5,18,25,23,20,26,27,14,6,11,3,29,15,8,22,24,9,17,1,21,12,30,19,32,13,28,10,7,31,2
5,17,13,9,32,22,2,6,4,1,25,14,26,31,18,7,8,21,12,29,11,28,30,15,24,3,16,27,23,19,20,10
3,21,11,16,30,29,25,24,10,20,2,15,8,13,17,27,19,1,6,32,23,22,26,14,31,9,7,12,18,28,4,5
12,7,19,28,8,20,14,31,3,24,29,9,21,32,23,5,18,13,16,4,10,17,27,25,22,30,1,11,2,26,15,6
18,15,27,10,23,1,26,4,28,22,19,16,6,30,12,11,2,20,5,31,9,7,24,3,14,13,32,21,29,17,8,25
17,18,23,12,4,2,11,21,8,19,3,26,13,20,32,29,24,15,14,10,16,30,31,27,9,7,22,6,5,1,25,28
22,19,8,29,3,26,1,10,25,6,30,27,18,28,21,14,7,12,4,9,13,5,23,11,17,24,15,20,16,31,2,32
13,9,20,6,16,32,7,28,5,17,11,10,1,15,24,31,21,18,3,8,25,2,19,22,23,12,29,30,4,27,26,14
15,24,30,14,27,25,31,5,22,23,12,7,2,16,4,9,20,17,1,6,26,32,29,28,8,10,18,13,19,21,3,11
