12,16,1,17,2,7,15,4,3,13,6,9,14,8,11,10,5,18
18,3,8,4,11,5,14,10,2,12,17,7,1,13,16,9,6,15
14,10,6,9,13,15,18,8,1,5,11,16,4,17,12,7,2,3
13,12,18,15,4,2,17,16,14,8,7,6,11,10,5,3,1,9
11,8,17,6,16,1,10,9,5,3,18,2,15,14,13,12,7,4
9,7,14,5,3,10,12,11,4,1,15,13,18,2,8,6,17,16
1,2,4,11,9,18,7,17,16,6,5,12,8,3,15,13,10,14
6,13,3,12,5,8,11,14,15,18,4,10,9,1,7,17,16,2
17,14,7,10,15,16,9,13,8,2,3,1,6,11,18,4,12,5
10,15,2,3,12,4,6,18,11,17,1,8,13,16,14,5,9,7
16,17,9,7,6,11,3,15,10,14,13,5,12,4,1,2,18,8
8,5,13,18,1,14,2,12,9,7,16,4,17,6,3,11,15,10
3,9,11,1,10,6,8,7,17,16,2,14,5,18,4,15,13,12
2,18,16,8,7,17,5,3,13,4,12,15,10,9,6,1,14,11
15,4,5,13,14,12,1,6,18,9,10,11,16,7,2,8,3,17
4,1,15,16,17,9,13,2,12,11,14,3,7,5,10,18,8,6
5,6,10,14,8,3,4,1,7,15,9,18,2,12,17,16,11,13
7,11,12,2,18,13,16,5,6,10,8,17,3,15,9,14,4,1
