22,73,30,55,23,31,50,52,41,12,49,21,14,13,43,47,80,16,33,25,35,61,27,29,34,56,8,69,77,70,40,62,42,46,75,17,45,57,18,26,58,60,9,68,2,72,3,38,20,4,54,24,28,76,7,59,37,39,63,48,11,64,78,10,1,32,5,36,71,19,74,51,53,44,81,6,79,66,15,65,67
40,29,63,15,28,18,12,25,4,51,20,71,53,46,33,27,34,37,81,16,42,69,22,1,58,11,76,49,24,50,78,35,2,30,6,39,47,74,65,48,67,62,8,59,19,55,56,52,17,36,68,7,14,43,21,23,54,9,41,5,44,45,38,64,60,66,3,61,26,13,73,79,72,70,77,32,57,31,75,10,80
68,72,48,33,62,47,61,6,56,77,19,58,64,42,5,76,24,11,43,36,30,37,9,13,17,70,51,67,29,54,18,80,28,79,4,81,32,20,66,15,34,78,31,16,71,73,53,60,40,1,45,41,23,50,12,22,74,2,55,25,10,27,75,57,44,49,38,7,39,8,35,65,69,52,21,14,46,63,59,26,3
53,37,1,21,60,46,44,75,74,50,67,2,78,59,18,61,56,10,72,20,6,26,40,12,19,24,38,58,66,36,15,45,23,16,8,57,14,3,55,7,52,25,11,29,41,65,31,62,34,64,69,49,63,39,79,71,81,13,51,32,43,47,76,4,70,48,22,54,80,17,77,9,27,68,42,30,5,28,35,73,33
10,77,81,49,24,78,65,14,79,9,6,30,41,25,45,17,74,40,66,63,23,62,68,2,47,4,31,26,21,56,34,20,38,7,59,64,39,35,69,46,13,61,73,54,53,75,70,44,11,42,8,32,5,48,80,57,3,15,1,67,28,29,52,72,27,50,58,16,18,12,33,37,22,36,43,55,19,76,71,51,60
64,32,13,35,3,16,42,7,39,79,36,52,15,65,4,72,26,68,44,48,49,18,71,5,28,73,57,1,74,55,22,27,41,76,31,10,43,51,21,30,38,77,37,70,6,47,80,81,33,59,25,61,2,9,14,50,60,17,56,19,46,69,66,45,75,62,78,67,11,29,63,53,23,24,8,40,20,34,12,54,58
54,57,9,17,67,34,11,26,69,38,48,39,66,22,3,7,35,1,74,46,41,32,80,10,65,15,55,52,43,72,33,60,5,73,47,12,44,75,49,28,79,76,63,64,81,77,13,16,21,51,30,71,27,19,70,42,58,40,8,36,68,53,4,31,14,2,25,24,6,59,20,23,18,78,50,29,56,45,61,62,37
80,70,71,2,51,8,38,59,58,57,60,29,55,54,44,69,81,31,64,52,77,75,7,53,67,39,45,13,14,19,63,9,37,61,3,32,50,5,12,42,23,56,27,24,36,78,46,35,66,22,26,10,6,79,30,49,18,72,65,20,62,33,73,15,21,68,47,28,76,43,40,34,17,4,16,11,41,1,25,48,74
20,5,36,76,19,66,27,45,43,23,8,32,62,63,75,73,70,28,59,50,78,79,60,3,14,21,54,11,68,51,71,25,48,65,53,44,10,22,1,17,72,4,80,40,33,58,18,12,29,15,67,74,57,37,61,35,77,26,34,16,31,6,24,56,55,69,41,30,46,81,52,42,13,7,9,49,47,38,39,64,2
24,69,3,41,39,20,7,50,10,19,77,11,72,21,67,12,40,8,18,43,74,44,17,26,68,25,73,75,36,64,13,22,81,28,14,71,35,9,32,65,4,27,29,76,51,33,15,1,57,53,62,45,78,60,47,34,16,63,6,46,38,79,5,30,2,52,80,48,31,66,58,56,37,59,55,61,23,42,49,70,54
