24,28,18,8,25,34,27,22,29,41,17,7,39,11,4,20,1,31,43,36,44,19,9,15,12,38,14,35,37,46,10,23,40,5,47,49,2,48,33,26,16,3,21,6,32,45,30,42,13
19,5,49,7,11,13,23,21,32,37,28,14,30,1,18,25,33,47,35,46,41,40,3,43,42,10,2,24,48,20,39,6,22,15,34,4,45,9,12,29,38,31,8,27,17,26,16,44,36
6,33,30,16,44,48,39,9,25,27,43,23,47,5,42,34,3,14,26,12,10,32,45,31,17,1,13,7,41,28,18,49,24,4,36,15,20,40,22,11,21,8,2,19,37,46,35,29,38
36,47,2,38,1,15,17,48,16,40,19,3,6,45,23,28,9,5,27,13,49,4,29,37,39,41,30,22,11,8,35,26,21,43,33,46,42,44,24,32,7,18,10,34,25,14,20,31,12
22,14,42,31,35,3,43,38,44,4,46,2,8,36,48,16,15,37,24,17,29,5,23,20,28,26,33,21,7,25,32,13,30,45,12,19,10,47,27,6,1,34,40,39,11,41,9,49,18
32,41,10,12,29,26,37,31,20,15,49,33,13,18,2,40,45,7,21,22,19,8,11,6,25,34,46,48,3,44,16,42,9,27,38,39,17,23,35,14,36,30,47,43,24,5,28,1,4
21,4,45,9,40,46,20,42,24,34,12,10,26,35,39,38,11,30,8,32,6,18,36,47,49,44,27,16,19,2,1,29,14,31,17,41,37,5,13,43,28,25,7,22,3,33,23,48,15
31,3,5,40,45,47,42,49,1,25,23,38,11,10,26,37,8,44,15,20,9,7,35,12,36,19,32,18,34,48,24,16,33,17,13,27,4,14,41,21,39,28,43,30,22,2,29,46,6
11,23,34,10,4,1,13,46,39,47,22,48,21,9,25,24,42,49,41,28,35,2,5,17,38,29,15,20,14,40,30,37,43,6,3,32,18,36,7,45,44,26,16,33,31,19,12,27,8
37,12,17,35,22,49,33,19,4,43,29,20,24,16,27,47,36,6,34,48,32,42,40,13,41,14,1,10,9,38,25,44,26,21,2,11,5,30,31,15,8,46,3,28,23,18,39,45,7
9,16,6,14,28,32,19,41,30,26,15,8,37,2,13,45,10,12,18,29,5,46,21,4,34,43,49,27,35,31,22,36,39,7,23,48,3,20,25,33,24,1,44,47,42,17,38,40,11
43,7,38,15,18,44,29,35,14,32,40,12,3,17,30,21,23,2,11,39,33,24,47,45,31,6,8,28,20,5,41,10,46,19,27,22,16,42,49,37,13,9,36,4,34,48,25,26,1
41,8,20,25,48,39,46,34,45,13,7,36,27,33,22,4,43,40,16,1,31,23,30,3,11,9,26,44,18,49,42,28,29,32,15,47,19,38,6,17,2,12,5,24,14,37,10,21,35
2,36,24,21,30,27,26,5,18,6,42,28,44,31,38,46,17,19,3,14,7,16,39,25,48,22,37,33,47,45,4,1,11,12,8,40,43,10,34,35,23,29,41,15,20,9,13,32,49
30,40,44,2,6,36,32,15,48,33,39,26,9,49,24,7,34,4,46,35,42,10,43,19,14,16,22,45,1,11,28,31,41,18,37,29,13,27,5,23,17,20,38,12,8,47,3,25,21
38,49,39,47,9,10,8,7,21,46,14,34,23,37,5,1,12,22,48,33,3,31,44,24,26,35,6,13,29,19,20,45,17,2,32,16,28,11,43,30,25,4,18,41,27,15,40,36,42
3,43,46,24,27,21,12,25,41,20,35,29,16,13,45,23,18,17,19,37,38,36,4,28,1,11,34,2,30,15,44,8,5,39,48,10,32,6,47,42,40,22,14,7,26,49,31,33,9
33,1,16,17,42,37,22,27,47,38,32,44,5,3,41,10,21,8,36,11,14,30,18,48,20,15,29,23,25,35,43,12,7,40,9,26,24,31,39,49,19,2,45,46,13,6,34,4,28
18,45,25,41,26,31,4,28,43,24,36,30,19,6,44,13,20,29,9,16,2,38,42,5,7,27,40,17,49,47,14,46,10,22,21,37,12,3,8,34,15,33,1,23,39,35,48,11,32
7,11,35,20,15,28,14,8,12,22,10,40,2,4,31,30,49,43,47,27,26,25,33,32,37,46,39,3,13,42,23,38,34,36,6,1,41,18,45,48,9,21,24,5,19,29,44,16,17
23,13,48,34,19,29,5,11,31,18,45,17,1,42,6,39,32,25,28,40,15,12,41,8,21,49,47,9,26,33,3,4,27,16,24,36,46,7,38,44,14,35,22,37,30,10,2,43,20
13,35,40,49,10,12,30,36,33,31,47,15,48,7,28,43,2,1,4,8,34,39,6,23,24,18,17,5,22,14,45,19,42,11,46,25,44,26,3,20,32,38,9,21,16,27,37,41,29
39,15,9,27,43,19,48,2,6,5,3,21,29,30,11,36,47,45,44,41,23,34,49,1,35,25,42,8,10,24,37,7,18,38,20,13,14,16,28,4,33,17,31,26,46,22,32,12,40
26,20,28,29,47,23,25,39,19,10,4,46,32,41,35,49,31,3,14,30,24,15,22,16,13,37,21,38,36,9,34,27,1,48,5,2,7,45,40,12,43,6,11,18,44,42,17,8,33
45,22,21,3,31,5,36,37,38,14,24,42,28,34,15,9,48,16,10,25,20,26,32,46,44,33,19,40,12,41,17,39,47,13,49,35,8,1,18,27,29,11,30,2,7,43,4,6,23
46,18,41,42,33,4,7,16,9,35,27,11,20,8,17,29,22,13,32,6,39,14,48,2,10,36,45,12,44,26,40,3,31,30,43,23,15,37,21,19,49,5,34,25,38,1,47,28,24
17,44,32,6,37,24,16,1,23,49,13,43,18,40,46,19,26,33,38,5,12,41,7,27,30,4,20,11,8,29,2,21,15,28,25,31,47,34,42,9,22,39,48,14,45,3,36,35,10
14,34,8,1,38,2,11,44,17,12,26,22,45,25,40,27,37,21,42,7,18,9,28,29,43,3,31,47,16,32,6,35,23,33,4,24,30,41,10,36,46,48,15,13,5,20,49,19,39
25,27,7,37,2,17,15,30,8,48,11,24,31,43,20,18,35,32,29,21,28,33,46,42,16,23,5,34,39,22,49,40,19,3,10,6,36,4,14,1,47,44,12,38,41,13,26,9,45
47,10,1,22,34,8,28,18,49,2,44,37,4,46,3,17,13,26,23,42,25,11,31,38,45,20,48,14,33,12,27,5,32,9,41,30,21,15,16,39,35,40,6,29,43,36,24,7,19
48,32,11,39,14,20,18,3,13,23,5,9,17,26,36,6,27,15,31,19,45,43,12,35,29,40,41,1,21,34,38,25,8,37,44,7,49,33,2,28,10,24,42,16,4,30,46,47,22
29,31,23,13,24,45,40,14,7,19,38,16,12,15,47,41,5,48,39,2,30,17,26,22,6,21,36,37,4,1,46,43,28,20,42,18,11,32,9,8,3,27,35,49,10,25,33,34,44
35,9,12,46,21,33,41,6,42,28,20,1,34,32,10,22,16,24,7,44,40,49,8,18,4,30,3,19,23,13,47,11,36,29,14,45,26,25,17,38,5,43,39,48,2,31,27,15,37
5,30,26,44,36,42,38,10,40,45,21,39,22,29,49,11,4,46,33,43,37,27,24,7,47,2,9,25,17,16,15,18,6,35,31,34,48,12,19,41,20,13,23,32,28,8,1,3,14
16,19,43,4,3,6,49,33,27,36,25,41,35,47,9,8,14,38,12,34,1,28,13,44,15,32,10,39,2,7,48,30,45,24,26,42,23,29,46,22,31,37,17,11,40,21,18,20,5
1,6,33,32,17,40,2,26,11,9,30,31,41,20,37,15,19,28,13,49,43,47,10,39,27,45,23,46,5,21,7,24,35,44,16,12,34,22,48,3,4,42,29,8,36,38,14,18,25
27,46,36,19,41,43,24,23,28,42,16,45,38,14,33,48,25,10,5,3,11,44,20,30,32,8,35,4,40,37,12,9,49,26,18,21,29,2,15,7,6,47,13,17,1,34,22,39,31
15,39,37,18,49,22,47,17,34,7,8,35,40,48,29,44,41,9,2,45,21,13,19,14,5,42,43,31,38,27,33,32,3,25,11,20,1,28,23,16,30,36,46,10,12,4,6,24,26
34,38,13,26,12,25,45,29,3,21,2,18,46,27,14,31,39,35,1,4,16,37,17,9,33,24,28,6,15,23,36,22,20,10,19,8,40,43,44,5,41,49,32,42,48,7,11,30,47
4,42,29,5,7,30,10,12,15,44,37,47,49,22,8,32,40,20,6,24,36,21,38,11,3,48,16,41,43,39,31,34,2,46,1,17,33,13,26,25,18,14,19,35,9,28,45,23,27
8,48,31,11,20,9,3,43,10,39,6,4,36,19,34,42,7,23,30,18,47,1,15,40,22,12,25,26,28,17,29,41,13,14,45,38,35,24,37,46,27,32,49,44,33,16,21,5,2
44,21,14,28,23,16,35,32,5,1,33,13,25,24,12,26,46,27,22,38,17,29,34,36,2,7,18,49,6,4,8,47,48,42,30,9,31,39,11,10,45,19,20,3,15,40,43,37,41
