11,12,4,13,1,3,2,9,7,14,5,8,10,15,6
3,9,5,14,2,6,1,10,15,8,13,7,4,12,11
10,15,7,6,8,4,13,12,11,5,9,14,3,1,2
4,10,12,1,6,9,8,11,5,3,2,15,13,14,7
2,8,11,9,3,7,15,14,13,10,1,12,6,5,4
14,13,15,7,5,12,6,4,2,1,3,11,9,10,8
12,2,14,11,9,13,4,3,1,7,8,10,15,6,5
15,1,6,4,10,2,11,5,8,9,7,13,12,3,14
7,3,8,5,13,15,14,6,10,12,4,9,11,2,1
9,7,1,10,15,11,3,2,4,6,14,5,8,13,12
6,5,3,2,14,1,9,8,12,13,15,4,7,11,10
8,4,13,12,11,5,10,7,14,15,6,2,1,9,3
13,11,10,3,4,8,5,1,9,2,12,6,14,7,15
1,14,2,15,12,10,7,13,6,4,11,3,5,8,9
5,6,9,8,7,14,12,15,3,11,10,1,2,4,13
