7,6,8,13,16,9,5,12,4,2,10,14,3,11,15,1
9,12,16,10,5,3,4,1,8,14,15,2,13,6,11,7
3,16,11,4,14,6,9,15,12,5,13,1,8,7,10,2
2,1,7,3,11,8,10,13,9,15,6,16,5,12,4,14
14,13,15,12,1,2,8,7,6,3,5,11,10,4,9,16
11,5,6,2,10,15,14,3,16,13,4,7,1,9,8,12
4,10,14,9,13,12,2,11,7,1,3,8,15,16,5,6
15,8,5,1,7,4,6,16,10,11,9,12,2,14,13,3
8,2,10,15,4,13,16,9,14,12,1,5,6,3,7,11
1,4,13,7,3,10,12,8,11,9,14,6,16,15,2,5
10,3,4,14,15,1,11,6,5,16,8,9,7,2,12,13
5,14,3,6,12,16,7,4,15,8,2,13,11,10,1,9
6,9,12,5,8,7,13,14,2,10,11,3,4,1,16,15
12,7,2,11,6,14,1,10,13,4,16,15,9,5,3,8
16,11,1,8,9,5,15,2,3,7,12,10,14,13,6,4
13,15,9,16,2,11,3,5,1,6,7,4,12,8,14,10
