2,5,1,11,23,17,20,9,21,22,10,12,8,16,18,7,4,19,3,15,6,24,13,14
8,21,13,10,20,16,2,3,24,14,4,7,12,1,15,6,11,17,22,9,19,5,18,23
7,4,24,9,19,15,1,11,6,5,23,18,22,3,21,13,14,20,17,8,10,16,12,2
6,3,12,22,18,14,19,15,17,16,8,13,9,23,24,5,2,10,21,11,7,4,20,1
20,12,18,7,4,2,11,5,23,8,17,6,1,13,9,15,10,21,19,3,24,14,22,16
19,10,15,6,3,9,13,7,14,24,22,1,2,12,4,16,5,8,11,20,23,21,17,18
22,8,23,5,17,1,16,19,15,10,9,21,14,11,20,3,24,18,4,6,2,12,7,13
21,11,14,13,16,24,4,12,2,18,3,20,19,6,17,23,22,7,15,1,5,9,10,8
23,2,22,12,24,7,21,20,5,19,18,17,16,9,6,4,3,1,8,13,15,11,14,10
5,17,9,14,11,6,24,22,4,15,1,16,13,10,12,8,7,2,18,23,21,20,19,3
4,1,21,8,13,19,23,14,10,3,11,2,20,24,22,18,17,15,16,12,9,7,6,5
3,16,20,15,10,18,12,13,9,7,6,8,23,21,5,11,19,14,1,22,4,2,24,17
11,14,19,23,7,22,17,6,16,12,24,3,10,18,2,21,8,13,5,4,20,1,15,9
10,13,16,21,6,5,7,8,20,11,14,19,4,17,1,24,15,9,2,18,12,23,3,22
18,9,17,20,12,4,15,21,1,23,2,10,3,5,7,19,16,22,24,14,11,13,8,6
1,15,8,24,2,3,9,18,22,4,13,5,11,20,23,14,12,6,7,21,17,10,16,19
9,19,7,4,22,12,3,23,8,6,21,14,5,2,16,1,13,24,20,10,18,17,11,15
24,20,6,3,21,13,10,16,11,2,15,22,18,14,19,17,9,23,12,7,1,8,5,4
17,18,11,2,15,10,5,1,13,9,19,24,7,22,8,12,20,4,6,16,14,3,23,21
16,23,5,1,14,8,18,17,7,20,12,4,21,15,3,10,6,11,9,19,13,22,2,24
15,7,10,17,8,23,22,2,12,1,5,9,6,4,14,20,18,16,13,24,3,19,21,11
14,22,4,19,5,21,6,24,3,13,20,11,15,8,10,2,1,12,23,17,16,18,9,7
13,6,3,18,9,20,14,4,19,17,16,23,24,7,11,22,21,5,10,2,8,15,1,12
12,24,2,16,1,11,8,10,18,21,7,15,17,19,13,9,23,3,14,5,22,6,4,20
