1,3,12,17,15,13,10,8,6,18,14,11,9,7,16,5,4,2
4,2,18,16,14,11,9,7,5,6,3,15,13,12,17,1,10,8
11,13,14,5,17,12,8,4,9,10,1,2,16,18,15,6,3,7
16,10,6,15,1,18,2,3,7,17,5,4,14,8,11,13,12,9
13,18,17,3,11,4,7,15,12,9,8,5,2,1,6,10,16,14
8,1,16,2,5,9,6,14,10,15,13,18,7,17,12,4,11,3
6,9,15,14,18,8,5,1,4,12,7,16,3,13,10,2,17,11
17,16,13,12,2,7,11,10,3,8,18,14,6,5,4,15,9,1
14,8,5,10,7,3,4,12,13,11,2,17,18,6,9,16,1,15
9,15,11,18,6,2,1,17,16,4,12,10,5,14,3,8,7,13
5,12,4,9,10,6,15,13,18,14,16,7,1,11,8,3,2,17
2,7,3,8,16,1,14,11,17,13,10,12,4,15,18,9,6,5
3,14,2,6,13,15,16,5,8,7,11,9,17,10,1,12,18,4
18,11,10,7,4,17,12,9,1,5,6,8,15,3,2,14,13,16
15,6,9,13,12,14,3,18,11,16,4,1,8,2,7,17,5,10
7,5,1,4,8,10,17,16,2,3,15,6,11,9,13,18,14,12
12,4,7,1,9,5,13,6,15,2,17,3,10,16,14,11,8,18
10,17,8,11,3,16,18,2,14,1,9,13,12,4,5,7,15,6
