14,4,1,11,16,7,10,13,12,9,6,5,3,15,2,8
8,6,13,10,11,5,2,1,15,3,7,4,9,12,16,14
7,3,16,9,15,12,4,14,8,2,10,13,6,5,11,1
5,2,12,15,6,9,3,8,14,1,16,11,4,7,10,13
4,12,15,8,2,16,6,7,3,13,1,9,14,10,5,11
3,9,14,6,8,11,13,12,10,5,4,16,1,2,7,15
16,13,11,5,1,14,9,10,6,7,2,15,8,3,12,4
2,7,10,1,5,4,15,3,11,14,8,12,13,16,6,9
12,10,9,4,14,13,16,11,7,6,5,8,2,1,15,3
11,1,8,3,7,2,12,5,9,4,15,10,16,14,13,6
15,16,6,2,3,10,1,9,13,11,12,14,7,8,4,5
13,14,5,7,4,15,8,6,2,16,3,1,10,11,9,12
10,15,7,14,13,8,11,2,1,12,9,6,5,4,3,16
6,8,4,12,9,1,7,16,5,10,11,3,15,13,14,2
1,11,3,13,10,6,5,4,16,15,14,2,12,9,8,7
9,5,2,16,12,3,14,15,4,8,13,7,11,6,1,10
