18,5,1,12,8,3,22,11,16,19,9,2,14,15,7,6,4,23,10,21,20,13,17,24
9,8,15,11,7,20,2,14,22,24,12,10,18,13,4,3,1,17,5,19,6,16,23,21
7,4,14,10,21,16,18,15,1,23,5,17,8,12,19,20,6,13,24,2,11,22,9,3
6,3,13,19,23,1,12,9,15,4,18,21,5,17,16,24,22,11,7,20,2,10,8,14
20,17,24,22,10,4,5,19,13,6,11,3,9,2,23,21,15,16,14,8,1,12,7,18
16,2,23,21,6,17,24,13,20,14,8,7,10,11,22,1,12,9,3,18,4,5,15,19
12,14,9,6,19,5,1,4,23,22,21,20,13,10,2,17,24,3,18,11,7,15,16,8
11,24,22,3,15,18,14,21,12,10,7,4,20,5,1,16,13,8,23,9,19,17,6,2
10,7,21,5,20,23,17,16,3,15,14,13,19,24,9,8,2,6,1,12,18,11,22,4
23,18,20,2,22,13,11,10,8,5,6,1,15,4,3,7,17,21,19,16,24,14,12,9
17,16,19,4,24,12,8,7,18,11,2,9,22,23,6,14,10,5,20,15,13,21,3,1
13,15,8,1,9,6,3,2,19,17,16,24,21,18,12,11,7,22,4,14,10,23,5,20
8,11,7,24,5,2,19,3,10,12,15,16,23,21,18,4,9,1,17,22,14,6,20,13
4,10,18,15,11,8,13,1,7,3,20,5,12,6,14,22,21,19,16,24,17,9,2,23
19,9,6,23,12,10,15,22,17,21,1,11,2,8,20,5,14,18,13,3,16,4,24,7
3,22,5,20,17,21,16,24,14,13,19,18,7,9,11,15,23,2,6,4,12,8,1,10
2,12,17,14,18,9,7,20,6,8,4,23,1,16,24,13,11,10,15,5,21,3,19,22
1,21,16,13,4,14,6,23,9,2,24,22,17,3,10,19,20,12,8,7,15,18,11,5
24,13,12,18,3,22,10,5,11,7,23,14,16,1,17,2,19,4,9,6,8,20,21,15
15,23,4,16,1,19,20,17,21,18,22,8,6,7,5,10,3,24,12,13,9,2,14,11
14,6,3,8,16,7,4,18,2,1,10,12,24,20,21,9,5,15,11,23,22,19,13,17
22,20,11,17,2,15,9,8,24,16,3,6,4,19,13,23,18,14,21,1,5,7,10,12
21,19,10,7,14,24,23,12,5,9,13,15,11,22,8,18,16,20,2,17,3,1,4,6
5,1,2,9,13,11,21,6,4,20,17,19,3,14,15,12,8,7,22,10,23,24,18,16
