7,5,2,12,17,15,20,9,6,19,11,3,14,16,18,8,13,4,10,1
9,17,14,11,5,8,1,19,18,2,12,10,3,4,7,13,20,15,6,16
8,4,1,10,12,7,13,2,20,14,15,16,6,9,11,19,17,5,18,3
6,3,13,15,11,18,14,16,4,9,7,5,20,17,1,10,12,19,2,8
18,16,20,19,4,3,6,10,13,8,1,17,5,15,2,12,11,9,7,14
14,8,19,5,13,10,2,17,7,12,9,4,1,3,15,18,16,11,20,6
13,10,18,4,9,6,12,1,11,3,20,15,7,2,16,5,8,17,14,19
11,7,17,3,19,16,15,8,10,6,5,13,9,20,12,14,18,1,4,2
16,6,9,2,20,14,11,7,19,18,8,1,4,10,13,17,15,3,5,12
12,20,15,1,18,5,4,3,2,16,17,14,8,19,6,11,7,13,9,10
10,12,8,20,2,9,3,6,14,5,13,19,11,7,17,1,4,18,16,15
4,15,16,18,1,20,5,14,17,7,6,9,13,8,3,2,19,10,12,11
3,11,7,14,15,19,17,12,16,20,10,8,18,5,4,9,2,6,1,13
2,9,6,17,8,13,10,11,15,1,4,18,12,14,19,16,5,20,3,7
1,19,5,13,7,4,16,18,12,11,3,2,10,6,20,15,14,8,17,9
5,13,12,16,3,17,18,15,1,4,19,7,2,11,10,6,9,14,8,20
19,18,11,7,10,1,9,5,8,17,2,6,15,12,14,20,3,16,13,4
15,14,4,9,6,11,7,20,5,10,18,12,16,13,8,3,1,2,19,17
17,2,3,6,16,12,8,13,9,15,14,20,19,1,5,4,10,7,11,18
20,1,10,8,14,2,19,4,3,13,16,11,17,18,9,7,6,12,15,5
