6,5,1,3,10,9,15,11,8,17,12,18,14,16,13,4,2,7
9,13,11,8,12,5,7,17,2,3,4,6,10,1,18,15,16,14
8,4,3,13,14,16,9,6,12,11,5,10,15,7,2,18,1,17
16,14,18,11,15,1,5,10,3,13,2,7,12,17,4,8,6,9
15,12,17,2,7,18,16,4,1,14,8,9,3,5,6,11,10,13
7,2,10,4,6,17,14,13,18,16,1,15,9,11,8,3,12,5
11,7,16,6,17,15,2,12,10,9,18,13,1,8,14,5,3,4
10,9,12,5,8,4,13,1,17,15,6,14,7,2,3,16,18,11
4,6,15,14,2,10,11,9,5,12,7,3,16,18,17,1,13,8
5,18,14,16,3,12,8,7,6,4,17,1,11,13,9,2,15,10
3,17,8,1,13,11,18,15,14,10,16,2,5,4,12,9,7,6
2,1,13,18,9,7,4,3,16,5,11,8,6,10,15,17,14,12
14,11,7,12,5,13,3,8,15,2,10,4,18,9,1,6,17,16
12,10,6,15,4,3,17,18,9,8,13,11,2,14,16,7,5,1
18,15,5,17,1,8,12,14,7,6,9,16,4,3,10,13,11,2
13,8,9,10,16,6,1,2,11,18,14,5,17,15,7,12,4,3
17,3,4,7,11,2,10,16,13,1,15,12,8,6,5,14,9,18
1,16,2,9,18,14,6,5,4,7,3,17,13,12,11,10,8,15
